Date,AAPL,GOOGL,MSFT
2023-05-12,171.6583709716797,117.37528991699219,305.903076171875
2023-05-15,171.16102600097656,116.37643432617188,306.38818359375
2023-05-16,171.16102600097656,119.37300109863281,308.64556884765625
2023-05-17,171.77774047851562,120.70146942138672,311.5627746582031
2023-05-18,174.12527465820312,122.68919372558594,316.04766845703125
2023-05-19,174.23468017578125,122.61927032470703,315.8690490722656
2023-05-22,173.27975463867188,124.90664672851562,318.6870422363281
2023-05-23,170.65370178222656,122.41949462890625,312.81298828125
2023-05-24,170.93222045898438,120.76140594482422,311.4139404296875
2023-05-25,172.07615661621094,123.33844757080078,323.3902282714844
2023-05-26,174.50323486328125,124.46714782714844,330.30615234375
2023-05-30,176.36337280273438,123.52822875976562,328.63916015625
2023-05-31,176.31362915039062,122.7291488647461,325.841064453125
2023-06-01,179.1386260986328,123.57817077636719,329.99853515625
2023-06-02,179.99407958984375,124.5270767211914,332.796630859375
2023-06-05,178.63133239746094,125.86554718017578,333.33245849609375
2023-06-06,178.26329040527344,127.16405487060547,331.0899658203125
2023-06-07,176.88063049316406,122.35956573486328,320.8699645996094
2023-06-08,179.61611938476562,121.99998474121094,322.7353820800781
2023-06-09,180.0040283203125,122.08988189697266,324.2535095214844
2023-06-12,182.819091796875,123.49826049804688,329.27423095703125
2023-06-13,182.3416290283203,123.68804931640625,331.6952819824219
2023-06-14,182.97824096679688,123.52822875976562,334.7215881347656
2023-06-15,185.02737426757812,124.94659423828125,345.3980712890625
2023-06-16,183.94313049316406,123.38838958740234,339.6728210449219
2023-06-20,184.0326385498047,122.95887756347656,335.42608642578125
2023-06-21,182.9882049560547,120.41180419921875,330.9709167480469
2023-06-22,186.0121307373047,123.00882720947266,337.07318115234375
2023-06-23,185.69381713867188,122.19974517822266,332.4195861816406
2023-06-26,184.29127502441406,118.20433044433594,326.0494384765625
2023-06-27,187.06654357910156,118.19435119628906,331.9731140136719
2023-06-28,188.250244140625,120.04222869873047,333.2431640625
2023-06-29,188.5884552001953,118.96346282958984,332.4493408203125
2023-06-30,192.9453125,119.56277465820312,337.896728515625
2023-07-03,191.44329833984375,119.7625503540039,335.3665466308594
2023-07-05,190.31927490234375,121.61042785644531,335.5252990722656
2023-07-06,190.79672241210938,119.9723129272461,338.6210632324219
2023-07-07,189.67266845703125,119.34303283691406,334.6025085449219
2023-07-10,187.61361694335938,116.31649780273438,329.25433349609375
2023-07-11,187.08644104003906,117.0057144165039,329.8893737792969
2023-07-12,188.7675018310547,118.79366302490234,334.5826721191406
2023-07-13,189.53341674804688,124.39723205566406,340.000244140625
2023-07-14,189.6826629638672,125.2762222290039,342.5602722167969
2023-07-17,192.9652099609375,124.5071029663086,343.0464782714844
2023-07-18,192.70657348632812,123.61812591552734,356.69964599609375
2023-07-19,194.0693359375,121.89010620117188,352.3238830566406
2023-07-20,192.10975646972656,119.06334686279297,344.1776428222656
2023-07-21,190.92604064941406,119.88240814208984,341.1016845703125
2023-07-24,191.7317657470703,121.39067840576172,342.4312744140625
2023-07-25,192.59716796875,122.06990051269531,348.2557067871094
2023-07-26,193.47250366210938,129.12181091308594,335.1482238769531
2023-07-27,192.1992645263672,129.25164794921875,328.1529541015625
2023-07-28,194.79550170898438,132.42800903320312,335.7435607910156
2023-07-31,195.41221618652344,132.56785583496094,333.3126220703125
2023-08-01,194.57664489746094,131.39920043945312,333.7293395996094
2023-08-02,191.5626678466797,128.2328338623047,324.9579772949219
2023-08-03,190.1601104736328,128.30274963378906,324.12445068359375
2023-08-04,181.02859497070312,127.963134765625,325.23577880859375
2023-08-07,177.90521240234375,131.37921142578125,327.5476989746094
2023-08-08,178.8501739501953,131.24935913085938,323.5191650390625
2023-08-09,177.24868774414062,129.51136779785156,319.7288818359375
2023-08-10,177.0298309326172,129.5413360595703,320.42340087890625
2023-08-11,177.089599609375,129.41146850585938,318.5183410644531
2023-08-14,178.7530517578125,131.179443359375,321.52484130859375
2023-08-15,176.75094604492188,129.6312255859375,319.3617248535156
2023-08-16,175.87442016601562,128.55245971679688,318.586181640625
2023-08-17,173.31454467773438,129.77105712890625,315.0860900878906
2023-08-18,173.80262756347656,127.31388092041016,314.6883544921875
2023-08-21,175.14727783203125,128.22283935546875,320.05780029296875
2023-08-22,176.5318145751953,128.93202209472656,320.63446044921875
2023-08-23,180.406494140625,132.21824645996094,325.1488037109375
2023-08-24,175.68516540527344,129.6312255859375,318.1585998535156
2023-08-25,177.90638732910156,129.73110961914062,321.1515808105469
2023-08-28,179.48016357421875,130.85980224609375,321.8674621582031
2023-08-29,183.3946533203125,134.41574096679688,326.5508117675781
2023-08-30,186.9107666015625,135.72422790527344,326.9286804199219
2023-08-31,187.1298828125,136.01390075683594,325.9045104980469
2023-09-01,188.713623046875,135.50448608398438,326.7994079589844
2023-09-05,188.9526824951172,135.61436462402344,331.6617126464844
2023-09-06,182.18942260742188,134.3058624267578,330.9955139160156
2023-09-07,176.86050415039062,135.1049346923828,328.0423583984375
2023-09-08,177.47805786132812,136.22366333007812,332.37762451171875
2023-09-11,178.65342712402344,136.76303100585938,336.0268859863281
2023-09-12,175.60548400878906,135.18484497070312,329.89178466796875
2023-09-13,173.52371215820312,136.55328369140625,334.1575012207031
2023-09-14,175.0476837158203,137.9416961669922,336.7825622558594
2023-09-15,174.320556640625,137.2424774169922,328.3505859375
2023-09-18,177.26890563964844,138.0515594482422,327.1971435546875
2023-09-19,178.36456298828125,137.88174438476562,326.7894592285156
2023-09-20,174.7986602783203,133.58668518066406,318.95404052734375
2023-09-21,173.2447967529297,130.29046630859375,317.7210693359375
2023-09-22,174.10142517089844,130.10067749023438,315.2153625488281
2023-09-25,175.3863525390625,130.95970153808594,315.74237060546875
2023-09-26,171.28257751464844,128.42262268066406,310.3729248046875
2023-09-27,169.7585906982422,130.39035034179688,311.0192565917969
2023-09-28,170.017578125,132.1583251953125,311.8644714355469
2023-09-29,170.53553771972656,130.70999145507812,313.96246337890625
2023-10-02,173.0655059814453,134.0161895751953,319.97821044921875
2023-10-03,171.7208251953125,132.27818298339844,311.6158752441406
2023-10-04,172.9758758544922,135.08497619628906,317.1543273925781
2023-10-05,174.22096252441406,134.9151611328125,317.552001953125
2023-10-06,176.79078674316406,137.4222869873047,325.4073486328125
2023-10-09,178.28488159179688,138.26132202148438,327.9528503417969
2023-10-10,177.68724060058594,137.9017333984375,326.53094482421875
2023-10-11,179.09169006347656,140.38888549804688,330.53814697265625
2023-10-12,179.99810791015625,138.81068420410156,329.2852478027344
2023-10-13,178.14544677734375,137.20252990722656,325.87469482421875
2023-10-16,178.01593017578125,138.9405517578125,330.75689697265625
2023-10-17,176.45211791992188,139.55982971191406,330.1801452636719
2023-10-18,175.14727783203125,137.80184936523438,328.24114990234375
2023-10-19,174.768798828125,137.5920867919922,329.4443359375
2023-10-20,172.19894409179688,135.44456481933594,324.8206787109375
2023-10-23,172.3184814453125,136.34352111816406,327.4556884765625
2023-10-24,172.75674438476562,138.65086364746094,328.6588134765625
2023-10-25,170.42596435546875,125.46600341796875,338.7414245605469
2023-10-26,166.2325439453125,122.13981628417969,326.03375244140625
2023-10-27,167.5572967529297,122.02994537353516,327.9429016113281
2023-10-30,169.619140625,124.31732177734375,335.4004211425781
2023-10-31,170.09725952148438,123.93775939941406,336.19586181640625
2023-11-01,173.28465270996094,126.30503845214844,344.1108703613281
2023-11-02,176.87046813964844,127.3438491821289,346.3481140136719
2023-11-03,175.95407104492188,128.95201110839844,350.802734375
2023-11-06,178.52392578125,130.10067749023438,354.5115966796875
2023-11-07,181.10372924804688,130.81985473632812,358.4889831542969
2023-11-08,182.1695098876953,131.68885803222656,361.1438903808594
